movie_id,averageRating,numVotes
tt0000001,5.8,1368
tt0000002,6.5,160
tt0000003,6.6,951
tt0000004,6.4,96
tt0000005,6.2,1649
tt0000006,5.6,84
tt0000007,5.5,554
tt0000008,5.6,1469
tt0000009,5.5,64
tt0000010,6.9,4926
tt0000011,5.4,199
tt0000012,7.4,8190
tt0000013,5.7,1255
tt0000014,7.2,3578
tt0000015,6.2,614
tt0000016,5.9,934
tt0000017,4.8,186
tt0000018,5.5,395
tt0000019,6.7,12
tt0000020,5,222
tt0000022,5.1,711
tt0000023,5.7,885
tt0000024,5.8,19
tt0000025,4.8,16
tt0000026,5.7,1097
tt0000027,5.6,740
tt0000028,5.2,677
tt0000029,5.9,2353
tt0000030,5.3,566
tt0000031,5.6,660
tt0000032,5.2,277
tt0000033,5.6,696
tt0000034,5.7,96
tt0000035,5.8,44
tt0000036,4.5,401
tt0000037,4.7,32
tt0000038,4.3,121
tt0000039,4.7,10
tt0000040,4.2,28
tt0000041,6.7,1143
tt0000042,4.7,15
tt0000043,4.4,7
tt0000044,4.7,19
tt0000045,4.8,12
tt0000046,4.5,13
tt0000047,3.7,10
tt0000048,5.5,90
tt0000049,6.1,17
tt0000050,4.5,10
tt0000051,4.1,8
tt0000052,4.4,32
tt0000053,2.8,5
tt0000054,5.8,13
tt0000055,4.3,10
tt0000056,3.5,6
tt0000057,4.8,9
tt0000058,4.4,10
tt0000059,3.9,7
tt0000060,8.1,55
tt0000061,4.3,9
tt0000062,6.5,130
tt0000063,3.8,6
tt0000064,3.7,7
tt0000065,4,7
tt0000066,4,7
tt0000067,6.2,32
tt0000068,4.3,7
tt0000069,4.8,258
tt0000070,6.4,1845
tt0000071,3.9,10
tt0000072,4.5,8
tt0000073,4.3,7
tt0000074,4.5,11
tt0000075,6.3,1139
tt0000076,4.5,364
tt0000077,5.2,12
tt0000078,4.2,32
tt0000079,4.6,12
tt0000080,4.4,9
tt0000081,4.4,9
tt0000082,5.6,17
tt0000083,5.2,12
tt0000084,4.8,9
tt0000085,5.2,12
tt0000086,4.4,10
tt0000087,5.2,13
tt0000088,5.2,10
tt0000089,6.4,664
tt0000090,4.3,9
tt0000091,6.7,2038
tt0000092,5.3,7
tt0000093,5.2,51
tt0000094,4.6,9
tt0000095,5.2,14
tt0000096,5.1,7
tt0000097,5.4,13
tt0000098,6.1,14
tt0000099,5.3,10
tt0000100,5.3,23
tt0000101,5.1,8
tt0000102,5.4,8
tt0000103,6.8,9
tt0000104,5.6,329
tt0000105,6.2,9
tt0000106,5.3,6
tt0000107,6.6,8
tt0000108,4.5,371
tt0000109,4.6,365
tt0000110,4.5,370
tt0000111,4.6,378
tt0000112,4.6,363
tt0000113,4.4,379
tt0000114,6.3,10
tt0000115,6.6,9
tt0000116,6.4,9
tt0000117,5.5,87
tt0000118,6.4,10
tt0000119,6.4,10
tt0000120,6.1,14
tt0000121,4.6,29
tt0000122,6.4,9
tt0000123,6,46
tt0000124,6.6,9
tt0000126,6.8,10
tt0000127,5,8
tt0000128,6.3,17
tt0000129,7.4,27
tt0000130,6.5,8
tt0000131,5.8,772
tt0000132,5.1,675
tt0000133,7.6,15
tt0000135,7.3,45
tt0000136,6.2,227
tt0000138,6.5,576
tt0000139,6.2,9
tt0000140,5.2,176
tt0000141,5.4,43
tt0000142,5.6,7
tt0000143,5,155
tt0000144,5.2,168
tt0000146,6.1,8
tt0000147,5.2,252
tt0000149,6,5
tt0000150,5.6,75
tt0000151,5.2,21
tt0000152,6.3,98
tt0000153,5.7,217
tt0000155,5.2,6
tt0000156,4.8,6
tt0000159,5.6,35
tt0000160,5.7,7
tt0000162,5.5,337
tt0000164,5.2,178
tt0000165,5.1,61
tt0000167,4.6,75
tt0000169,4.9,8
tt0000170,5.4,136
tt0000172,6.1,387
tt0000173,5.5,12
tt0000174,5.1,82
tt0000175,5.1,113
tt0000177,4.7,149
tt0000178,6.2,24
tt0000179,5.1,9
tt0000181,7.6,27
tt0000182,5,380
tt0000183,6.7,10
tt0000184,4.9,214
tt0000186,4.7,9
tt0000187,5.8,20
tt0000190,5.4,95
tt0000192,4.6,113
tt0000194,5.5,62
tt0000196,5.4,9
tt0000205,6.2,10
tt0000208,5.8,391
tt0000209,6,5
tt0000210,5.9,9
tt0000211,7.5,2454
tt0000213,4.6,144
tt0000214,4.9,39
tt0000215,4.5,77
tt0000218,5.9,378
tt0000219,7.4,21
tt0000222,4.6,140
tt0000223,6.4,8
tt0000225,5.7,15
tt0000228,5,159
tt0000229,4.7,55
tt0000230,6.5,1057
tt0000234,6.8,26
tt0000235,6.3,381
tt0000239,5.6,137
tt0000240,4.5,39
tt0000242,6.4,621
tt0000245,7.3,15
tt0000246,6.5,765
tt0000247,5,336
tt0000248,6,1015
tt0000251,5.6,56
tt0000253,4.4,7
tt0000256,4.7,110
tt0000261,6.2,32
tt0000264,5.8,266
tt0000265,4.5,82
tt0000269,5.3,80
tt0000271,7.8,5
tt0000272,5.6,526
tt0000273,5.4,368
tt0000274,5.7,144
tt0000276,8.1,7
tt0000277,6.3,39
tt0000283,6.4,11
tt0000284,5.4,133
tt0000286,5.8,133
tt0000287,5,110
tt0000288,5.4,125
tt0000292,5.5,50
tt0000296,6,176
tt0000299,5.5,128
tt0000300,7,849
tt0000301,4.4,226
tt0000302,5.1,95
tt0000304,6,785
tt0000306,5.6,131
tt0000307,4.8,52
tt0000308,6,24
tt0000309,6.1,577
tt0000310,7.8,12
tt0000313,5.9,547
tt0000319,6.1,70
tt0000321,4.8,144
tt0000328,7.6,5
tt0000335,6.2,32
tt0000337,5,279
tt0000340,5.1,186
tt0000341,5.1,247
tt0000346,5.1,143
tt0000347,4.4,71
tt0000349,6.1,73
tt0000350,5.9,495
tt0000352,7.4,9
tt0000353,5.3,236
tt0000355,6.2,451
tt0000357,6,251
tt0000358,6.2,467
tt0000359,7.2,1985
tt0000361,8.3,9
tt0000363,6.4,82
tt0000364,5.5,104
tt0000368,7.1,7
tt0000370,5.6,263
tt0000373,6.1,31
tt0000376,7.8,6
tt0000377,6.7,78
tt0000380,7.3,12
tt0000381,4.7,6
tt0000384,5.8,141
tt0000387,5.2,216
tt0000388,5.1,73
tt0000399,6.2,542
tt0000400,6.8,6
tt0000406,5.7,12
tt0000407,3.4,20
tt0000409,5.1,127
tt0000410,6.7,740
tt0000412,4,5
tt0000413,5.6,259
tt0000414,5.5,559
tt0000416,5.6,82
tt0000417,8.2,35393
tt0000420,6.3,2009
tt0000423,5.5,140
tt0000425,5.8,5
tt0000430,6,512
tt0000432,5.7,134
tt0000436,6.4,371
tt0000437,5.1,135
tt0000439,7.3,13924
tt0000440,5.4,141
tt0000442,4.5,38
tt0000447,6.4,1634
tt0000451,6.7,584
tt0000452,4.6,74
tt0000455,6.9,1438
tt0000456,4,31
tt0000459,4.5,44
tt0000464,4.8,288
tt0000465,7.3,858
tt0000469,5.8,722
tt0000471,5.2,330
tt0000472,6.8,9
tt0000479,5.3,275
tt0000480,5,121
tt0000487,7.1,299
tt0000488,7,567
tt0000491,3.5,34
tt0000492,4.9,52
tt0000495,6.1,70
tt0000496,6.3,27
tt0000497,5.4,20
tt0000498,6.7,835
tt0000499,7.7,2606
tt0000501,4.6,19
tt0000505,7.9,10
tt0000507,3.4,23
tt0000509,6.3,15
tt0000511,7.1,18
tt0000512,4.4,34
tt0000515,4.9,50
tt0000516,6.6,665
tt0000519,5.8,253
tt0000520,7.3,16
tt0000521,5.6,205
tt0000524,5.8,552
tt0000525,5.7,22
tt0000526,4,34
tt0000533,7.4,16
tt0000534,6.7,727
tt0000535,5,31
tt0000537,3.9,47
tt0000543,4.8,10
tt0000546,6.8,1413
tt0000550,3.8,5
tt0000552,5.7,21
tt0000553,6.6,157
tt0000554,6.2,872
tt0000555,4.9,9
tt0000557,4.7,77
tt0000561,5.3,20
tt0000565,6.4,353
tt0000567,6.9,704
tt0000570,4,28
tt0000571,6.8,41
tt0000574,6.3,447
tt0000575,6.1,302
tt0000576,6,172
tt0000578,6.8,9
tt0000582,5.2,508
tt0000583,5.6,19
tt0000584,4.8,38
tt0000597,5,36
tt0000598,5.1,20
tt0000599,3.8,6
tt0000601,5.8,6
tt0000602,4.9,132
tt0000609,4.1,8
tt0000610,5,10
tt0000613,3.7,6
tt0000614,6.6,622
tt0000615,5.1,12
tt0000617,4.1,14
tt0000621,6.5,447
tt0000627,5.8,13
tt0000628,5.7,542
tt0000629,5.7,24
tt0000630,2.9,8
tt0000632,5,23
tt0000637,5.6,446
tt0000638,5.1,27
tt0000639,4.9,31
tt0000640,4.4,55
tt0000641,5.2,80
tt0000642,5.5,17
tt0000644,5.5,15
tt0000645,5.3,71
tt0000648,4.6,72
tt0000651,5.1,20
tt0000653,4.5,123
tt0000654,5.5,23
tt0000658,6.6,114
tt0000659,5,23
tt0000660,5.9,13
tt0000661,7,7
tt0000662,4.6,11
tt0000663,5.6,11
tt0000665,5.8,11
tt0000666,5.6,19
tt0000668,6.9,17
tt0000669,4.7,88
tt0000671,5.8,8
tt0000672,6.4,9
tt0000674,4.5,20
tt0000675,4.7,7
tt0000676,4,6
tt0000679,6,24
tt0000680,5.9,10
tt0000681,5.3,7
tt0000682,6.9,1716
