Row Labels,Sum of score
tt0000001,16495.95509
tt0000003,12231.55886
tt0000005,20543.79938
tt0000008,17419.10572
tt0000010,64811.33234
tt0000012,111853.4601
tt0000013,15008.15646
tt0000014,48152.61423
tt0000015,7653.338716
tt0000016,11358.12643
tt0000022,8078.021901
tt0000023,10585.28192
tt0000026,13119.46949
tt0000027,8777.869464
tt0000028,7759.842966
tt0000029,28604.7227
tt0000031,7829.58565
tt0000033,8256.313366
tt0000041,14814.25239
tt0000070,23354.50871
tt0000075,14306.06871
tt0000089,8409.088432
tt0000091,26409.32444
tt0000131,9311.84127
tt0000132,7669.324295
tt0000211,33765.24979
tt0000230,13488.33541
tt0000242,7864.928337
tt0000246,9763.859879
tt0000248,12444.27423
tt0000300,11260.49445
tt0000304,9625.804369
tt0000359,26716.84914
tt0000410,9593.231124
tt0000417,511714.5914
tt0000420,25228.67393
tt0000439,188765.4386
tt0000447,20684.32778
tt0000455,18924.17288
tt0000465,11637.62804
tt0000469,8709.147158
tt0000498,10823.99296
tt0000499,36378.344
tt0000516,8554.9658
tt0000534,9424.811083
tt0000546,18453.74345
tt0000554,10866.61297
tt0000567,9267.872695
tt0000614,8002.19132
tt0000682,22581.46368
tt0000832,22846.5928
tt0000942,7653.607927
tt0001009,9519.107337
tt0001062,10779.43111
tt0001105,7873.639115
tt0001223,36638.75698
tt0001463,14362.65585
tt0001527,29329.62146
tt0001737,17485.87937
tt0001740,10946.03681
tt0002113,8436.989967
tt0002130,21362.57913
tt0002208,12727.82767
tt0002260,11167.85356
tt0002381,21304.90166
tt0002391,7914.377165
tt0002423,8004.923352
tt0002553,7870.164551
tt0002659,7312.808807
tt0002844,22502.52935
tt0003014,10529.01147
tt0003037,15411.79913
tt0003165,11951.64005
tt0003170,7774.07158
tt0003419,18247.80204
tt0003424,11641.63221
tt0003643,12438.40177
tt0003662,7840.388612
tt0003679,13581.39854
tt0003733,9030.784469
tt0003740,33454.5762
tt0003758,10830.63043
tt0003760,7780.998226
tt0003772,11318.8382
tt0003805,11160.20218
tt0003863,8878.297144
tt0003923,8584.450222
tt0003930,13309.85477
tt0003934,7798.735386
tt0003952,10636.06782
tt0003961,13334.63636
tt0004008,32758.69379
tt0004011,7225.054718
tt0004026,11582.30206
tt0004091,8986.238804
tt0004100,8592.541117
tt0004101,11120.81882
tt0004181,14485.14138
tt0004189,26476.56958
tt0004194,11156.08525
tt0004210,12277.0963
tt0004277,7309.964021
tt0004280,8268.166914
tt0004282,11059.6542
tt0004284,12914.75761
tt0004288,17036.89238
tt0004311,11917.34291
tt0004395,8407.225356
tt0004465,11923.1724
tt0004518,8884.064402
tt0004546,14825.11559
tt0004635,9334.70315
tt0004637,7464.300578
tt0004670,10633.97455
tt0004693,8821.279481
tt0004707,39058.09495
tt0004736,10276.15185
tt0004936,18492.91012
tt0004972,248218.5183
tt0005044,15198.80608
tt0005060,10399.26481
tt0005074,21952.63221
tt0005077,14152.01395
tt0005078,26012.35521
tt0005339,7954.992567
tt0005489,16396.43377
tt0005542,13627.13111
tt0005571,11120.81882
tt0005810,15214.49098
tt0005812,16587.81334
tt0005910,10071.27218
tt0005916,8978.446803
tt0005960,12108.87139
tt0006032,13377.01953
tt0006177,32421.39423
tt0006206,47090.57437
tt0006309,16589.4786
tt0006313,14657.60083
tt0006333,17238.90066
tt0006414,25497.31988
tt0006548,20346.20297
tt0006684,24186.91391
tt0006689,22535.6635
tt0006780,9262.632705
tt0006826,10241.00051
tt0006864,171211.0535
tt0006886,9567.320348
tt0007108,9510.717025
tt0007145,32852.88736
tt0007162,33135.46807
tt0007194,15921.00714
tt0007264,36015.10004
tt0007476,8809.665111
tt0007507,27353.14443
tt0007613,39873.23613
tt0007761,13951.92847
tt0007819,15571.75386
tt0007832,35469.76419
tt0007880,54630.1175
tt0008112,8839.628798
tt0008133,85403.90332
tt0008377,7848.942933
tt0008443,14719.85471
tt0008499,9245.599233
tt0008519,8503.544918
